r,rep,SVD1,SVD2,NMF
1,1,0.8919953862664843,0.8778636380867976,0.8914639523698078
2,1,0.8847321451378029,0.8746392221797624,0.8915283396223488
3,1,0.8797108147259083,0.8748662831070851,0.8912273750093134
4,1,0.8786679742807955,0.8720332507911744,0.8911810868752832
5,1,0.8771879590692975,0.8706469479059399,0.8865066920095965
6,1,0.8766199390573738,0.8697920327636232,0.8851366700616782
7,1,0.8752938962877913,0.8697968351227352,0.8845214547121761
8,1,0.8751221085622829,0.8684613334967487,0.883185097548249
9,1,0.8746072708420756,0.8693215510587552,0.8841537356343417
10,1,0.8744632746547363,0.8698704197662874,0.881048520929498
11,1,0.8744295658787342,0.8693764181789192,0.8822796553295302
12,1,0.8751863407186176,0.8709861943319229,0.8810125758047203
13,1,0.8754752004559684,0.870208980241173,0.8791874452730049
14,1,0.8753949434053844,0.8713833979120548,0.8791892082795678
15,1,0.875269668284871,0.8715279072927484,0.8775703784731235
16,1,0.8756482997657873,0.8723531432305268,0.8773294908732016
17,1,0.875718637718337,0.8748017445572162,0.8771856396351726
18,1,0.8765266244748482,0.874328962182111,0.8748492921213602
19,1,0.8764525180947466,0.8751028578611822,0.8778699637497814
20,1,0.8769249253820693,0.8767541370998976,0.877770696295626
21,1,0.8769310303761534,0.8774079360939725,0.8766676818990649
22,1,0.8772632038007575,0.8783983660015937,0.8763794009441775
23,1,0.8775728913488267,0.8789625988815781,0.8760556783328411
24,1,0.8782447569339296,0.8796650365823463,0.8779604248062828
25,1,0.8774864011872131,0.8789734109324618,0.8764137459943868
26,1,0.877399825352614,0.8792728238350217,0.8753740700069667
27,1,0.878338510488639,0.8802512279797683,0.8760623038743759
28,1,0.8781302185279057,0.8793480890170795,0.8767830992533976
29,1,0.8779617814218829,0.8805090766560277,0.8770175560634692
30,1,0.8775687701115005,0.8793438216281366,0.8789020921026724
31,1,0.8770882246865865,0.8798744576854208,0.8772954866077994
32,1,0.8775274566614192,0.8783677767015754,0.8768032569488884
33,1,0.8780296046409665,0.877571658074472,0.87770380536834
34,1,0.8770104656905362,0.8776165590682599,0.8770202950126893
35,1,0.877347412766636,0.8784365193883134,0.8787435694022392
36,1,0.876992404775934,0.879111877158754,0.8775254326643855
37,1,0.8783288314721214,0.8793372561616772,0.874794080606927
38,1,0.8775758708966884,0.8782071242703174,0.8783896059063442
39,1,0.8780307001272419,0.8786497907806662,0.8755982776286545
40,1,0.8780550935177107,0.8792250553507694,0.8771369269836721
41,1,0.8788179173967616,0.879478959722262,0.8785166668978952
42,1,0.8779684561166968,0.8794569216240693,0.8764469171841917
43,1,0.8784603023632762,0.880443216420347,0.8771167760130201
44,1,0.8790365674647478,0.8799562129883076,0.8772626762413939
45,1,0.8788396971859194,0.8798792067784877,0.878176320883377
46,1,0.8790159597914009,0.881643925091767,0.876874227140051
47,1,0.8782317256201102,0.8801179126919113,0.877537378321872
48,1,0.8799095861119871,0.8811090141332981,0.877249969618303
49,1,0.879189532002537,0.8807916069189885,0.877297526551332
50,1,0.880507220414401,0.8807221503629195,0.877950664137553
1,2,0.8966784408477839,0.8815536814440678,0.8960364655570741
2,2,0.8899837824544992,0.8795699230072485,0.8962044181556692
3,2,0.8850586881804811,0.8805002682201862,0.8960453912884148
4,2,0.8838988471657381,0.8772355237866328,0.8959808479145677
5,2,0.8823555752034827,0.8764259518394198,0.8916520556111
6,2,0.8810698132784808,0.8744007984769148,0.8903215507660518
7,2,0.8798525976472766,0.8737749444417293,0.889978187872541
8,2,0.8800357218956664,0.8739490953542447,0.8873153118978412
9,2,0.8794127830264946,0.8751272055734817,0.8885763157890517
10,2,0.8791635127994665,0.8747189690779287,0.884641814934005
11,2,0.87831663004638,0.8789086510320968,0.8875627407505258
12,2,0.8783183152759241,0.8786929309717281,0.8855320036042759
13,2,0.8782368528340284,0.8773897405551065,0.8842760098956426
14,2,0.8771044343082709,0.8766163553957734,0.8838380173900388
15,2,0.8768576207265151,0.8763268482350397,0.8823248748067504
16,2,0.8782508743039001,0.8740310282017986,0.8821753654492012
17,2,0.879029740990732,0.8754005272990047,0.8808341329870619
18,2,0.8792546010346749,0.8783495811427771,0.8810311914292707
19,2,0.8794032507482652,0.878257407411163,0.8811602797355262
20,2,0.8790416060210418,0.8788437247326936,0.8804929013417184
21,2,0.8796951953435422,0.8786699877973894,0.8802961687614147
22,2,0.8798949107422124,0.8795437987799092,0.8801262762957895
23,2,0.8804422224508911,0.8805733591523084,0.8805672873813433
24,2,0.881472314226038,0.8782602548994909,0.8806688897146782
25,2,0.8810709689950553,0.8815726718953599,0.8819334176259667
26,2,0.8808124051256561,0.8814170216570635,0.8786246123612522
27,2,0.8817087831457622,0.8817412208208584,0.8801227839117327
28,2,0.8809596483506797,0.8824217757993134,0.8794249992161174
29,2,0.881642684916924,0.8825704356654148,0.8815208448121974
30,2,0.8817388615492624,0.8825944788868146,0.880357176951916
31,2,0.8822294195729808,0.8821659099770669,0.8819446275598192
32,2,0.8818985223370561,0.8831791802223321,0.8810665101811994
33,2,0.8818931753924661,0.8824573414628532,0.8799557459952964
34,2,0.881672479299808,0.881656458661146,0.8798601301549958
35,2,0.8825554704347316,0.8825472658133878,0.8815681735523743
36,2,0.8822925829964416,0.8828770061629841,0.8808292861380119
37,2,0.8828652946675709,0.8835893519946649,0.880399355483256
38,2,0.8818810477894933,0.8843224141487865,0.8800898137989143
39,2,0.8822877327495401,0.8847776623945163,0.8793474721283911
40,2,0.8824469087731162,0.8837469652065525,0.8795451753329688
41,2,0.8828597767746142,0.883615205595544,0.8798770793128075
42,2,0.8831446105560108,0.8846638673848211,0.8801498452695673
43,2,0.8838619526537261,0.8833742951371254,0.8794023888934768
44,2,0.8819099779121403,0.8842790366674825,0.8809881554547137
45,2,0.8830617061682163,0.8851495502746811,0.8800859406127317
46,2,0.8828556029264242,0.8841798964757273,0.8821940884736518
47,2,0.8838486928374744,0.8850209608478136,0.8829644157559471
48,2,0.8837115832748262,0.8852205710162024,0.8814126017668084
49,2,0.883455064386411,0.8851615540621666,0.8815477766927101
50,2,0.8834366795632355,0.8861952146837458,0.8812608596932344
1,3,0.8811302632981649,0.8644696102266166,0.8803036251463792
2,3,0.8740260447958176,0.8624678696041117,0.8802585092621982
3,3,0.868506865489169,0.8615884814401324,0.8798467848954719
4,3,0.8672344242607831,0.8604552905278425,0.8797718993474193
5,3,0.866980384749441,0.8594576632540799,0.8756222305822416
6,3,0.8658246959306393,0.8584823310157736,0.8741027379584404
7,3,0.8653076604755133,0.8587922833239638,0.8744429534919625
8,3,0.8645438294354958,0.8577999655235811,0.8719761084601262
9,3,0.8638584874883016,0.8582145743293224,0.8727943711988597
10,3,0.864267292720932,0.8580381875741931,0.8698225535725023
11,3,0.8637195590229666,0.8587770297889397,0.8702131443960289
12,3,0.8633887284185365,0.8582699722128281,0.8672097356534352
13,3,0.8629229388848813,0.8632736373571581,0.8687627997151611
14,3,0.8625441910619657,0.8630243575811001,0.8673774030575611
15,3,0.8621866135796364,0.8624916272858273,0.8663333828404692
16,3,0.8619707751406079,0.8619932393760392,0.8660739935787855
17,3,0.86327201890842,0.8629857261956602,0.8648086786335746
18,3,0.8637295837365256,0.8646314081374571,0.8646983844113664
19,3,0.8630237504182194,0.864471846811978,0.8658899117390543
20,3,0.862772119659687,0.8648365226120212,0.8643717796873754
21,3,0.8631244133968128,0.8652385261436868,0.8644008509379631
22,3,0.8637066051788324,0.8651093958226498,0.8642604374560198
23,3,0.8641275253230798,0.8663984569025485,0.864129460273391
24,3,0.8645755629101363,0.8657080395534099,0.8648784461289062
25,3,0.8644399423186443,0.8659384160259803,0.8654678241307715
26,3,0.8643637965177409,0.8658437996478109,0.8641363406399746
27,3,0.8657407024482008,0.8666378449687974,0.8632073653431285
28,3,0.8656838168553044,0.8675854248623543,0.8640005985617223
29,3,0.8657602903017441,0.8673784339968222,0.8638235477146721
30,3,0.8654084699234776,0.865936657206943,0.8636962836192078
31,3,0.8660772035578616,0.8667363947267229,0.8641800110984256
32,3,0.8658214595024093,0.8662444307051225,0.8646002925351517
33,3,0.8653833598530095,0.8662148208348786,0.8637399058786491
34,3,0.8670767472984529,0.8666963818541106,0.8642478910345311
35,3,0.8658196901326719,0.8664768312803222,0.8649049258258958
36,3,0.8650615412251722,0.8661780877742826,0.8648234696436818
37,3,0.8663514504689386,0.8663736247327931,0.8626713904062986
38,3,0.8662340403538669,0.8674464753082733,0.8656875041525374
39,3,0.8660727464906612,0.8663572882209778,0.8648184080241722
40,3,0.8658801232588361,0.8674157086470373,0.8632251436523749
41,3,0.8665568739674316,0.866836666428256,0.8645343612797013
42,3,0.8667782557025403,0.867480440777432,0.8641753491109992
43,3,0.8661946600398824,0.8670019228227778,0.8651313039394305
44,3,0.866692444440129,0.8673038156786903,0.8648457763116442
45,3,0.8670633789899179,0.8681926115014282,0.8635515642060324
46,3,0.8666011470135168,0.8678510503111573,0.8654369879757123
47,3,0.8683608058389608,0.8673777340138941,0.8634677484001704
48,3,0.8670156410799295,0.8696907372976856,0.8630109964362918
49,3,0.8679425755760581,0.8684899120237394,0.8639807646098422
50,3,0.8681736336285547,0.869052232431354,0.8649043412676781
1,4,0.9006172636500762,0.8866427566045727,0.9000907001600984
2,4,0.8929992189016993,0.8830664365404216,0.9000574530029334
3,4,0.8879260934531555,0.8824663336742773,0.8997175308091608
4,4,0.8875126073827788,0.880576879388494,0.8997449057254877
5,4,0.8860868733187335,0.8801664008295106,0.8953633534924345
6,4,0.8851277839564619,0.8786887420471375,0.8934070631001018
7,4,0.8849227520417434,0.878816769544472,0.8934118596369496
8,4,0.8849401277473286,0.8776917782760675,0.8902844351385868
9,4,0.884082378867841,0.8781577432170676,0.892075764067138
10,4,0.8819814212804628,0.8781241372600179,0.8895438889991272
11,4,0.8823381543208425,0.8778793837447421,0.8912306904648373
12,4,0.8826172245606781,0.8783054718018977,0.8875165976391354
13,4,0.881651428935864,0.8775212093187192,0.8875651999676691
14,4,0.88065677288256,0.8807080787823209,0.8871193036911124
15,4,0.8808419694259888,0.8773038402089691,0.8858229131458158
16,4,0.8822431627789109,0.878855286122609,0.8868101159356306
17,4,0.8827624600163755,0.8790676152072584,0.8858763587582105
18,4,0.8831244872154738,0.8797910470773299,0.8854442481097533
19,4,0.8833703397629137,0.8798453434036847,0.8858815556039163
20,4,0.8827351030565926,0.8800880272980101,0.886198285574606
21,4,0.8826373398101592,0.8822441272372294,0.8833401314189786
22,4,0.8832918419474103,0.881087145919213,0.8836789056628054
23,4,0.8837098576451093,0.8826894591881475,0.8837303490499608
24,4,0.8840877149527031,0.883722266153459,0.8846533210534221
25,4,0.88505731732878,0.8844619778261409,0.884500776162266
26,4,0.8848598195924958,0.8830008534357753,0.8846523089948789
27,4,0.8850098032688292,0.8818326279063011,0.8842846925042089
28,4,0.8853389706640477,0.8814655258287545,0.8845139599408423
29,4,0.8839676923120684,0.883163113739023,0.8842909814506629
30,4,0.8835694241587441,0.8841824793550348,0.8835249483266688
31,4,0.8835422548825744,0.8842886863966956,0.8861027601572531
32,4,0.8841352261147166,0.8846879558539595,0.8825146074149796
33,4,0.8843591160640989,0.8814777873755812,0.8849347331379563
34,4,0.885336562161566,0.8833898082010205,0.8830252922979395
35,4,0.8846179978091856,0.8833929084150131,0.8832551974446385
36,4,0.8853510985440789,0.8835740950438437,0.883308854505536
37,4,0.8849012527803328,0.8843294623072059,0.8819287495466124
38,4,0.8841304493819,0.883170036596294,0.8834867342186302
39,4,0.885145480106924,0.884053194437717,0.8831022503351078
40,4,0.885104805429543,0.8859033340691176,0.8840088190726194
41,4,0.8861394008806515,0.8849774257786674,0.8827682037588735
42,4,0.8862088133521391,0.8851638093622397,0.8849025681662407
43,4,0.8867906469106432,0.8867117483013566,0.885921531759757
44,4,0.8866519825945613,0.8871253704683549,0.8843709723705716
45,4,0.8864639932694107,0.8871070656724366,0.8841195736552837
46,4,0.8868702446035359,0.887231890491678,0.8853910808882142
47,4,0.8859558938412877,0.8875006634412949,0.883688150412017
48,4,0.886954354868759,0.8876092430750048,0.8861334148702539
49,4,0.887747655123605,0.8870150381535693,0.8860608895591915
50,4,0.8883413014437536,0.8879494898179757,0.887375378189716
1,5,0.8791557607753071,0.8662486770412378,0.8784675305792182
2,5,0.8718773712596233,0.8626401913562681,0.8785348006815786
3,5,0.8676790801214527,0.8628473272391939,0.8782477624033793
4,5,0.8668989200045953,0.8602872367347149,0.8781019428741125
5,5,0.8651417224295557,0.8594326584972866,0.8740068414793858
6,5,0.8642527698622054,0.8574856432085802,0.8721162239409074
7,5,0.8637425193581062,0.8574495551518444,0.8723870344118154
8,5,0.8627948062433614,0.8563200812302286,0.8696095403524443
9,5,0.8619415840691447,0.8568101969530064,0.8710940374452552
10,5,0.8614338337356798,0.8566497138167413,0.8675989272784668
11,5,0.8606623885336797,0.855503263320326,0.869273071697858
12,5,0.861653960723517,0.8567016579667865,0.8681964539260342
13,5,0.8607471644633201,0.8567212270080123,0.8668345961743327
14,5,0.8603359461183668,0.8561071022595902,0.8673233967582111
15,5,0.8591410754148365,0.8554942579776809,0.8657599944478801
16,5,0.8599122618991886,0.8570272897788157,0.8643285777996579
17,5,0.8599590524057152,0.8569815513576535,0.8627070820705659
18,5,0.8611124439457072,0.8576845527957336,0.8626043518209984
19,5,0.8607191730150305,0.8614522695630651,0.8642023624570392
20,5,0.8616547867699399,0.8581481091681048,0.8631491050961231
21,5,0.8603352521430095,0.8609786747364178,0.862754742034388
22,5,0.8599885337129446,0.8602985427097475,0.8606414892283881
23,5,0.8615802366529197,0.8602974042654647,0.8614898107266639
24,5,0.8608513461196384,0.8612824694211161,0.8624323440249304
25,5,0.86231855290078,0.8596639121904963,0.8616105693324143
26,5,0.8615410556480811,0.86168582523328,0.8589471113473199
27,5,0.8620882515741538,0.8616354448931444,0.8615312117911742
28,5,0.8619204780110268,0.862005285240556,0.8594352119961671
29,5,0.8606224948927709,0.8628124250433031,0.8610760369910628
30,5,0.8609486665081034,0.8625383713491892,0.8611831314568124
31,5,0.8619834150395952,0.8626822233133498,0.8633993307117322
32,5,0.8611279742308591,0.8622985831076581,0.8614858766128877
33,5,0.8619357991128553,0.8617380971470454,0.8602038821276133
34,5,0.8632497022837451,0.8630695195846423,0.8600173058930459
35,5,0.8626477817144999,0.862620916214826,0.8619304025062756
36,5,0.8637098639455298,0.8644109047364963,0.8603624726583399
37,5,0.8633001375312968,0.8637486825615532,0.8592840174761895
38,5,0.8645934745659118,0.863342205675596,0.860971618361133
39,5,0.8622572552554635,0.8622240743408306,0.862209790036895
40,5,0.8642499807805396,0.8649655509128265,0.8619689083342618
41,5,0.863310393332208,0.8639308440679505,0.8614716145723887
42,5,0.8653328333818098,0.8669242737037677,0.8583442043153705
43,5,0.8644312549615377,0.8636190524979619,0.8622792597245001
44,5,0.8653349468518093,0.8633585003404975,0.8620638155653854
45,5,0.8655053404537921,0.8627073950040738,0.8628029647360317
46,5,0.866656277602258,0.8643413452166215,0.8632453821995331
47,5,0.8669197612636625,0.8644731995556663,0.8611539245770375
48,5,0.8674335836266054,0.8642995825133758,0.8630615070174088
49,5,0.8681538710112813,0.8643686237193241,0.8623712453059327
50,5,0.8676473212207706,0.8657177963645305,0.8631438720607814
