index,lambda,eta,r,RMSE
0,0.001,0.0001,1.0,1.0600648960485513
1,0.001,0.001,1.0,1.0152770430395541
2,0.001,0.01,1.0,0.9672721232727697
3,0.001,0.05,1.0,1.0512079910146053
4,0.001,0.1,1.0,1.4108664976841507
5,0.01,0.0001,1.0,1.0603572331683384
6,0.01,0.001,1.0,1.0268456978506204
7,0.01,0.01,1.0,0.9354759651590518
8,0.01,0.05,1.0,1.0438684888001133
9,0.01,0.1,1.0,1.530660409499592
10,0.05,0.0001,1.0,1.0602333705613662
11,0.05,0.001,1.0,1.029164945541579
12,0.05,0.01,1.0,0.9575063743945322
13,0.05,0.05,1.0,1.0461325081630792
14,0.05,0.1,1.0,1.4191116970413706
15,0.1,0.0001,1.0,1.0605263057269878
16,0.1,0.001,1.0,1.0405266993606568
17,0.1,0.01,1.0,0.9414358755249111
18,0.1,0.05,1.0,1.035030290279951
19,0.1,0.1,1.0,1.3760375725523701
20,0.5,0.0001,1.0,1.0625393185499676
21,0.5,0.001,1.0,1.0525375153167753
22,0.5,0.01,1.0,1.0376319774768068
23,0.5,0.05,1.0,1.1103802728883994
24,0.5,0.1,1.0,1.3750536295640803
25,1.0,0.0001,1.0,1.0654757478658867
26,1.0,0.001,1.0,1.0712033135525285
27,1.0,0.01,1.0,1.2028416585575783
28,1.0,0.05,1.0,1.3426793092438813
29,1.0,0.1,1.0,1.5233500532960302
30,0.001,0.0001,5.0,1.0601029988335988
31,0.001,0.001,5.0,1.048961819143823
32,0.001,0.01,5.0,0.9368076045185127
33,0.001,0.05,5.0,1.0557381611914427
34,0.001,0.1,5.0,1.424914580860047
35,0.01,0.0001,5.0,1.0603501084917233
36,0.01,0.001,5.0,1.0344885645983506
37,0.01,0.01,5.0,1.0255256601067297
38,0.01,0.05,5.0,1.0454637272600389
39,0.01,0.1,5.0,1.4073877594419673
40,0.05,0.0001,5.0,1.0602338486322844
41,0.05,0.001,5.0,1.0408597537388122
42,0.05,0.01,5.0,0.9999732710712391
43,0.05,0.05,5.0,1.0425020055173129
44,0.05,0.1,5.0,1.223571766022385
45,0.1,0.0001,5.0,1.0607911217496828
46,0.1,0.001,5.0,1.0434941045166644
47,0.1,0.01,5.0,0.9496178700347779
48,0.1,0.05,5.0,1.0292956976373746
49,0.1,0.1,5.0,1.352643357432759
50,0.5,0.0001,5.0,1.062144105310042
51,0.5,0.001,5.0,1.0539196767060777
52,0.5,0.01,5.0,1.050299497281432
53,0.5,0.05,5.0,1.1114770232990876
54,0.5,0.1,5.0,1.2925194339597592
55,1.0,0.0001,5.0,1.0656718049397385
56,1.0,0.001,5.0,1.070882874959582
57,1.0,0.01,5.0,1.194391723448585
58,1.0,0.05,5.0,1.334341758410842
59,1.0,0.1,5.0,1.5027630822026046
60,0.001,0.0001,10.0,1.060022628807354
61,0.001,0.001,10.0,1.031074401160495
62,0.001,0.01,10.0,0.9997035102577247
63,0.001,0.05,10.0,1.040389637564284
64,0.001,0.1,10.0,1.4306066948925265
65,0.01,0.0001,10.0,1.0601013196301123
66,0.01,0.001,10.0,1.0236628044262794
67,0.01,0.01,10.0,1.0500285416844413
68,0.01,0.05,10.0,1.0397275902498915
69,0.01,0.1,10.0,1.3406336029342953
70,0.05,0.0001,10.0,1.0600473997749933
71,0.05,0.001,10.0,1.0424365119339658
72,0.05,0.01,10.0,0.9519659014747563
73,0.05,0.05,10.0,1.0541824818541483
74,0.05,0.1,10.0,1.4115921731766103
75,0.1,0.0001,10.0,1.0604738043034505
76,0.1,0.001,10.0,1.042382658824674
77,0.1,0.01,10.0,1.010482829249795
78,0.1,0.05,10.0,1.0642373208168632
79,0.1,0.1,10.0,1.3713071947057414
80,0.5,0.0001,10.0,1.0623505925777137
81,0.5,0.001,10.0,1.0580474895034084
82,0.5,0.01,10.0,1.0467450026908878
83,0.5,0.05,10.0,1.0931865984432434
84,0.5,0.1,10.0,1.3171697906008815
85,1.0,0.0001,10.0,1.065371958486963
86,1.0,0.001,10.0,1.0644058367320635
87,1.0,0.01,10.0,1.1691653525685572
88,1.0,0.05,10.0,1.3802545589644863
89,1.0,0.1,10.0,1.4786213054098796
90,0.001,0.0001,15.0,1.0598565901980361
91,0.001,0.001,15.0,1.0458244107443844
92,0.001,0.01,15.0,0.9629999361466478
93,0.001,0.05,15.0,1.0390792450743225
94,0.001,0.1,15.0,1.4386229641887178
95,0.01,0.0001,15.0,1.0602157018345817
96,0.01,0.001,15.0,1.0394684719199565
97,0.01,0.01,15.0,0.9800978292680109
98,0.01,0.05,15.0,1.0431673815651505
99,0.01,0.1,15.0,1.3622201835476866
100,0.05,0.0001,15.0,1.0604793402484947
101,0.05,0.001,15.0,1.0437097318660973
102,0.05,0.01,15.0,1.0086507786064798
103,0.05,0.05,15.0,1.0455315984064741
104,0.05,0.1,15.0,1.2914544501976268
105,0.1,0.0001,15.0,1.0605902572115478
106,0.1,0.001,15.0,1.037239078371717
107,0.1,0.01,15.0,0.9665319032626429
108,0.1,0.05,15.0,1.044449696143064
109,0.1,0.1,15.0,1.4341734703993172
110,0.5,0.0001,15.0,1.0627374546109987
111,0.5,0.001,15.0,1.0590559423483756
112,0.5,0.01,15.0,1.0467196567486636
113,0.5,0.05,15.0,1.1315039353081355
114,0.5,0.1,15.0,1.3642514398664767
115,1.0,0.0001,15.0,1.0649720539668037
116,1.0,0.001,15.0,1.0794453482857884
117,1.0,0.01,15.0,1.1476492426603309
118,1.0,0.05,15.0,1.3487823816701499
119,1.0,0.1,15.0,1.4994058623038418
120,0.001,0.0001,20.0,1.0601084086754766
121,0.001,0.001,20.0,1.0476648990499609
122,0.001,0.01,20.0,0.9974571619373892
123,0.001,0.05,20.0,1.0612760482897665
124,0.001,0.1,20.0,1.44263414132838
125,0.01,0.0001,20.0,1.0602107788036044
126,0.01,0.001,20.0,1.0460637367912764
127,0.01,0.01,20.0,1.032486312987807
128,0.01,0.05,20.0,1.0461451217423308
129,0.01,0.1,20.0,1.3777270269551696
130,0.05,0.0001,20.0,1.0602872659682867
131,0.05,0.001,20.0,1.0426823961735983
132,0.05,0.01,20.0,0.9792907781144171
133,0.05,0.05,20.0,1.0475668368876783
134,0.05,0.1,20.0,1.4145776373788392
135,0.1,0.0001,20.0,1.0601510240308518
136,0.1,0.001,20.0,1.0400910498896108
137,0.1,0.01,20.0,1.037654140236543
138,0.1,0.05,20.0,1.028266831456053
139,0.1,0.1,20.0,1.3495995459886885
140,0.5,0.0001,20.0,1.062415849064027
141,0.5,0.001,20.0,1.0530877094546445
142,0.5,0.01,20.0,1.05742049615167
143,0.5,0.05,20.0,1.120534296365051
144,0.5,0.1,20.0,1.3514727271387168
145,1.0,0.0001,20.0,1.0653626892145007
146,1.0,0.001,20.0,1.0734602133831646
147,1.0,0.01,20.0,1.1928817854402798
148,1.0,0.05,20.0,1.325119974133284
149,1.0,0.1,20.0,1.5797160188492247
150,0.001,0.0001,50.0,1.0597513483407135
151,0.001,0.001,50.0,1.0331141284052454
152,0.001,0.01,50.0,1.0183701444630626
153,0.001,0.05,50.0,1.0300033311350572
154,0.001,0.1,50.0,1.44970206432065
155,0.01,0.0001,50.0,1.059984999070774
156,0.01,0.001,50.0,1.0430099706558547
157,0.01,0.01,50.0,1.0162738398630833
158,0.01,0.05,50.0,1.0320220233041093
159,0.01,0.1,50.0,1.3807872120323788
160,0.05,0.0001,50.0,1.0601646087867564
161,0.05,0.001,50.0,1.0452277729071693
162,0.05,0.01,50.0,0.9918578346906712
163,0.05,0.05,50.0,1.027643982494468
164,0.05,0.1,50.0,1.368290723102509
165,0.1,0.0001,50.0,1.0604184329570043
166,0.1,0.001,50.0,1.0431113088235768
167,0.1,0.01,50.0,1.0011246064882662
168,0.1,0.05,50.0,1.0436740144400631
169,0.1,0.1,50.0,1.3477316095009446
170,0.5,0.0001,50.0,1.0627122251099699
171,0.5,0.001,50.0,1.0528579452661606
172,0.5,0.01,50.0,1.0494113666190794
173,0.5,0.05,50.0,1.1153630545453344
174,0.5,0.1,50.0,1.3573821253844789
175,1.0,0.0001,50.0,1.0652958399947756
176,1.0,0.001,50.0,1.0746207758903354
177,1.0,0.01,50.0,1.1083089781848479
178,1.0,0.05,50.0,1.2984262249076657
179,1.0,0.1,50.0,1.497076304645619
180,0.001,0.0001,80.0,1.060299679442633
181,0.001,0.001,80.0,1.0481240091695767
182,0.001,0.01,80.0,0.9857377380991446
183,0.001,0.05,80.0,1.0463102194427027
184,0.001,0.1,80.0,1.434477291384012
185,0.01,0.0001,80.0,1.0600897746512137
186,0.01,0.001,80.0,1.041188807709166
187,0.01,0.01,80.0,1.0266044675255908
188,0.01,0.05,80.0,1.031005224763169
189,0.01,0.1,80.0,1.3703850355998153
190,0.05,0.0001,80.0,1.0599034054143772
191,0.05,0.001,80.0,1.0471960657727206
192,0.05,0.01,80.0,0.9889061714475234
193,0.05,0.05,80.0,1.055236038639166
194,0.05,0.1,80.0,1.3295359331403116
195,0.1,0.0001,80.0,1.064521463990573
196,0.1,0.001,80.0,1.0478240370075418
197,0.1,0.01,80.0,1.0186692772894157
198,0.1,0.05,80.0,1.0285777861112622
199,0.1,0.1,80.0,1.3671855548487954
200,0.5,0.0001,80.0,1.0628121055733748
201,0.5,0.001,80.0,1.0555958166639368
202,0.5,0.01,80.0,1.0596546609379203
203,0.5,0.05,80.0,1.1177146365373147
204,0.5,0.1,80.0,1.3183359074922192
205,1.0,0.0001,80.0,1.0657358512178758
206,1.0,0.001,80.0,1.0677646314539522
207,1.0,0.01,80.0,1.1412520401073143
208,1.0,0.05,80.0,1.3090956600673411
209,1.0,0.1,80.0,1.510642973953213
210,0.001,0.0001,100.0,1.0602609017027174
211,0.001,0.001,100.0,1.0451002363882518
212,0.001,0.01,100.0,1.039956880433935
213,0.001,0.05,100.0,1.0410744845136337
214,0.001,0.1,100.0,1.3754904393417362
215,0.01,0.0001,100.0,1.060167702279144
216,0.01,0.001,100.0,1.048350574453594
217,0.01,0.01,100.0,1.0049576802294717
218,0.01,0.05,100.0,1.0410295819183448
219,0.01,0.1,100.0,1.1718383451140353
220,0.05,0.0001,100.0,1.060230575509272
221,0.05,0.001,100.0,1.04222108802016
222,0.05,0.01,100.0,0.9842732024526798
223,0.05,0.05,100.0,1.017908785065676
224,0.05,0.1,100.0,1.4115646339806038
225,0.1,0.0001,100.0,1.066395491865967
226,0.1,0.001,100.0,1.050904549361985
227,0.1,0.01,100.0,1.0368576657827617
228,0.1,0.05,100.0,1.0687890075811532
229,0.1,0.1,100.0,1.33724923970991
230,0.5,0.0001,100.0,1.0629109106186598
231,0.5,0.001,100.0,1.0539795970784225
232,0.5,0.01,100.0,1.0496692204974343
233,0.5,0.05,100.0,1.1430820262533337
234,0.5,0.1,100.0,1.328252126163886
235,1.0,0.0001,100.0,1.0656212172459925
236,1.0,0.001,100.0,1.0664857432846953
237,1.0,0.01,100.0,1.1198382356769143
238,1.0,0.05,100.0,1.2714683439695331
239,1.0,0.1,100.0,1.3854462782778192
