Column weight,SVD1,SVD2,NMF
0.0,0.9046787698343918,0.888610150937035,0.9138815780433672
0.01,0.9032987881825365,0.8874352526745103,0.9125096600554301
0.02,0.9020201087129845,0.8862197222410233,0.9108254689907381
0.03,0.9005872678811073,0.8849755536436804,0.9109162997614537
0.04,0.8991011749177927,0.8840122294870171,0.9076809366093341
0.05,0.897594950923679,0.8829794310965343,0.9063851573860489
0.06,0.8966044369088728,0.8820540102818024,0.9045576076604785
0.07,0.8954121562216709,0.8810762103441648,0.9029364697660711
0.08,0.8941898715103905,0.879842839486176,0.9023244041154665
0.09,0.8930490364987369,0.8794572252134464,0.900726576811937
0.1,0.8917225350020551,0.8780301957846437,0.8999370480766201
0.11,0.8910099496834691,0.8770148858673428,0.8984337587258409
0.12,0.8894821115561905,0.8760498823983095,0.8960927052848997
0.13,0.8887206258608161,0.8754280950041611,0.8958258587035521
0.14,0.8868914327014407,0.8746383862605824,0.8946948792090267
0.15,0.8853748678019326,0.8740711136851887,0.8930773177594528
0.16,0.8848184479581942,0.8732518864263672,0.8916137028736569
0.17,0.8837572941020999,0.8725669942679654,0.8896908656847352
0.18,0.883335386082167,0.8720842918245441,0.8902853784427829
0.19,0.8821307113232215,0.871532691534363,0.8886374537321586
0.2,0.881203590163344,0.871136390694901,0.8876326230337004
0.21,0.8805725599298351,0.8707091317122914,0.8869407339200945
0.22,0.8796811013334687,0.870305372575572,0.8855502578413565
0.23,0.8794546715802612,0.8700009284858328,0.8853110177280112
0.24,0.8788951554433766,0.8696575850457108,0.884417779776212
0.25,0.878110042592521,0.8693703930600424,0.8827361629804368
0.26,0.8775260149837273,0.8691727728270191,0.8826019730336806
0.27,0.8770700002378945,0.8689173068828722,0.8826779388634192
0.28,0.8769783443090182,0.8687447530345379,0.8817186892253274
0.29,0.8759999790698547,0.8686299463877053,0.8819795984116695
0.3,0.87604921625504,0.8684586703471932,0.8808715692261849
0.31,0.8758532604055066,0.8684447651654941,0.879972424250455
0.32,0.875221679415086,0.8683736601886307,0.8790909140745031
0.33,0.8746126527417842,0.8684140110793797,0.8787524480329338
0.34,0.8750945815178637,0.8684167598812393,0.8782882019798416
0.35000000000000003,0.8746756939638651,0.8685278663688497,0.8787817038724802
0.36,0.8742012489045097,0.8686782370255295,0.8776882752531862
0.37,0.8737670470374481,0.8688399843305248,0.8777180584996152
0.38,0.8746814068147502,0.8689135811024096,0.8782187950430351
0.39,0.874171254575658,0.8692421741591069,0.8771604530261617
0.4,0.8744119917118756,0.8694464070656154,0.877121913395017
0.41000000000000003,0.8744458046858589,0.8697903243396373,0.8785981412141202
0.42,0.8745965940114635,0.8701445961570581,0.8772815863847447
0.43,0.8745767196667543,0.8703960510499793,0.87765401226987
0.44,0.8752267642491023,0.8707556889427768,0.8778974172021651
0.45,0.8755628743160903,0.8712398271571181,0.8780520690973731
0.46,0.8760523002683211,0.8717059381838784,0.8780245166786365
0.47000000000000003,0.8763759888880271,0.872176644379688,0.8780348773546217
0.48,0.8761960735671661,0.8727614595123312,0.8778071347184223
0.49,0.8770509143136607,0.8733680429480677,0.8790302750562884
0.5,0.8773071395522878,0.873845974601105,0.8782737721547335
0.51,0.8778322021091031,0.8745283005768275,0.8802254490404472
0.52,0.8786502853974997,0.8754114599613407,0.8799887848584246
0.53,0.8790073470048027,0.876098110797838,0.8802925846075663
0.54,0.8799171831503513,0.8770956194755611,0.8803443219614172
0.55,0.8805773935905783,0.8774434121533804,0.8810105555975865
0.56,0.8811111005257277,0.8781307085960844,0.8830222139624416
0.5700000000000001,0.882151023710186,0.879193824409872,0.882307974908347
0.58,0.8828229711085577,0.8800828201547967,0.8833874482162375
0.59,0.8836311201034551,0.8809966812353395,0.8839909483726504
0.6,0.8840999597284007,0.8817811709380838,0.8846849940872329
0.61,0.8848288848387543,0.8828162516434206,0.8849450047235801
0.62,0.8861773294343538,0.8837305863347296,0.8862920655208902
0.63,0.887148885586886,0.8847109224899741,0.8873711904851284
0.64,0.8883414363389786,0.8856707428596524,0.8873787277487534
0.65,0.8892723053873753,0.8867583080524694,0.8892528515909144
0.66,0.8898681754331225,0.8877122037751758,0.8911025956637505
0.67,0.8912843472124496,0.8887726575213619,0.8909629315824835
0.68,0.892536516131321,0.8899799074473931,0.891258738198473
0.6900000000000001,0.8936766848288907,0.891268012730715,0.8928006072710654
0.7000000000000001,0.8952366115415971,0.8923696682810938,0.8947633390774298
0.71,0.8962940390163953,0.8933105768996487,0.8956260473010876
0.72,0.8975527052571873,0.8952732761962193,0.897299631534256
0.73,0.8989264183183642,0.8959028939187416,0.8981704812696992
0.74,0.8997145646172385,0.8971474799164806,0.899026264950679
0.75,0.9018052941761628,0.8986590299298821,0.9013363605170145
0.76,0.9029565683883046,0.9002761136765024,0.901946857371019
0.77,0.9046008340414076,0.901331707787415,0.9043246402111957
0.78,0.9058556217677429,0.9040444769210407,0.9058679860016008
0.79,0.907402699567445,0.9046441763356482,0.9072152756201165
0.8,0.9095781878297656,0.9068168660110305,0.9089474067925147
0.81,0.9105873739560624,0.9081987899612085,0.9101454750256079
0.8200000000000001,0.9121396308341304,0.9098559064611559,0.9119903437455111
0.8300000000000001,0.914570256712017,0.9115821914627028,0.9127958661580452
0.84,0.9155400557449285,0.9134297283175626,0.9156549977782914
0.85,0.916944639587425,0.9143682644163484,0.9177134896616114
0.86,0.9185271188650331,0.9166886039755857,0.9196771481780838
0.87,0.9203672250067039,0.9193475690841586,0.9214688113321554
0.88,0.9216753713525914,0.921422426758077,0.9222931551625551
0.89,0.9236777246001302,0.9231273027696114,0.9252653120558535
0.9,0.9254477863416768,0.9249575629712669,0.9259719192055839
0.91,0.9269466255768805,0.9272655887438682,0.9292084186183144
0.92,0.9293341270332959,0.9296778016540888,0.930662392268062
0.93,0.9313444246271548,0.9315243160065891,0.9327804078991195
0.9400000000000001,0.933465271425264,0.9322956053663501,0.9354890479683493
0.9500000000000001,0.935921810219141,0.9343399244121123,0.9368896072441751
0.96,0.9379139219421446,0.9361961272715515,0.9390370997647585
0.97,0.9405629466099691,0.9383085546410077,0.9410971516677746
0.98,0.9420237152396764,0.9402365776968954,0.9441420889252056
0.99,0.9446721349022169,0.9423807395617309,0.945372453146255
1.0,0.9469645238451555,0.9444548066122036,0.9498068115593746
